DeliveryDate,HourEnding,TotalCapGenRes,TotalCapLoadRes,OfflineAvailableMW,DSTFlag
02/09/2021,01:00,44917.1,4656.8,0,N
02/09/2021,02:00,44406.2,4657.8,0,N
02/09/2021,03:00,44025.3,4681.7,0,N
02/09/2021,04:00,43515.3,4694.5,0,N
02/09/2021,05:00,43609.2,4694.5,0,N
02/09/2021,06:00,43214.3,4697.2,0,N
02/09/2021,07:00,46021.1,4674.3,0,N
02/09/2021,08:00,45837.5,4678.6,0,N
02/09/2021,09:00,46965.7,4643.5,0,N
02/09/2021,10:00,48420.4,4642.1,0,N
02/09/2021,11:00,48458,4641.2,0,N
02/09/2021,12:00,48319.8,4635.8,0,N
02/09/2021,13:00,48653.3,4635.5,0,N
02/09/2021,14:00,50113.8,4625.9,0,N
02/09/2021,15:00,50894.8,4622.8,0,N
02/09/2021,16:00,51938.4,4620.3,0,N
02/09/2021,17:00,52836.4,4637.2,0,N
02/09/2021,18:00,52426,4637.4,0,N
02/09/2021,19:00,53048.2,4656.9,0,N
02/09/2021,20:00,52215.9,4654,0,N
02/09/2021,21:00,51231.8,4654.2,0,N
02/09/2021,22:00,49607.1,4633.5,0,N
02/09/2021,23:00,46440.3,4637.6,0,N
02/09/2021,24:00,45436.1,4628.1,4763.3,N
02/10/2021,01:00,44681.1,4676.9,6617.8,N
02/10/2021,02:00,44467.8,4676.9,8477.8,N
02/10/2021,03:00,44187.4,4684.1,11657.9,N
02/10/2021,04:00,43834.9,4682.4,13490.1,N
02/10/2021,05:00,45969.8,4682.2,12314.6,N
02/10/2021,06:00,48336.9,4681.6,11808.5,N
02/10/2021,07:00,52540,4669.1,8455.1,N
02/10/2021,08:00,52970.5,4669.1,9066,N
02/10/2021,09:00,53957.1,4670.4,8984.9,N
02/10/2021,10:00,55383.5,4668.9,10126.8,N
02/10/2021,11:00,56365.2,4651.7,10258.8,N
02/10/2021,12:00,56864.3,4663.7,11651.6,N
02/10/2021,13:00,57254,4658.6,12843.6,N
02/10/2021,14:00,57461.6,4657.1,13161.9,N
02/10/2021,15:00,57703.5,4657.3,13730.1,N
02/10/2021,16:00,58373.1,4656.1,13734.2,N
02/10/2021,17:00,58845.8,4657.8,13791.1,N
02/10/2021,18:00,58440.1,4657.7,13627.9,N
02/10/2021,19:00,57946,4663.2,13557.9,N
02/10/2021,20:00,57914.5,4660.1,13803.3,N
02/10/2021,21:00,57890.7,4670,13868,N
02/10/2021,22:00,57340,4658.5,14060.1,N
02/10/2021,23:00,55480.2,4688.1,15382.2,N
02/10/2021,24:00,53350.3,4678.9,17284.7,N
02/11/2021,01:00,37994.4,1585.6,33114.1,N
02/11/2021,02:00,37611.8,1574.5,33128.8,N
02/11/2021,03:00,37405.8,1571.9,33146.6,N
02/11/2021,04:00,37434.5,1537.4,33157.7,N
02/11/2021,05:00,38371.3,1543.9,33171.1,N
02/11/2021,06:00,38240.8,1516,33182.8,N
02/11/2021,07:00,38772.8,1559.6,32814.4,N
02/11/2021,08:00,38856.7,1541.1,32827.4,N
02/11/2021,09:00,38934.5,1542.4,32787,N
02/11/2021,10:00,39193.8,1543.9,32741.3,N
02/11/2021,11:00,39169.7,1542.4,32696.9,N
02/11/2021,12:00,39095.3,1534.5,32676.1,N
02/11/2021,13:00,39809.3,1534.5,32677.9,N
02/11/2021,14:00,39746.7,1535.4,32684.1,N
02/11/2021,15:00,39866,1534.5,32665.4,N
02/11/2021,16:00,40322.6,1543.9,32649,N
02/11/2021,17:00,40176.3,1551.9,32700.5,N
02/11/2021,18:00,39115.4,1555.9,32701.6,N
02/11/2021,19:00,38640,1542.4,32737.8,N
02/11/2021,20:00,39307.5,1535.4,32780.5,N
02/11/2021,21:00,40109.8,1533.9,32817.6,N
02/11/2021,22:00,40539.6,1551.9,32849.6,N
02/11/2021,23:00,40219.8,1504.7,33163.8,N
02/11/2021,24:00,39950.3,1515.9,33437.9,N
02/12/2021,01:00,38079.2,1586.6,34348,N
02/12/2021,02:00,38000.3,1575.5,34366.4,N
02/12/2021,03:00,38226.2,1572.9,34378.9,N
02/12/2021,04:00,38516.3,1538.4,34395.2,N
02/12/2021,05:00,39641.7,1544.9,34406.1,N
02/12/2021,06:00,39947,1517,34416.9,N
02/12/2021,07:00,40432.2,1560.6,34401,N
02/12/2021,08:00,40676,1542.1,33831.7,N
02/12/2021,09:00,40801.1,1543.4,33825.2,N
02/12/2021,10:00,41649.3,1544.9,33782,N
02/12/2021,11:00,41101.3,1543.4,33741.8,N
02/12/2021,12:00,40145.7,1535.5,33707,N
02/12/2021,13:00,40212.1,1535.5,33669.9,N
02/12/2021,14:00,39945.2,1536.4,33646.4,N
02/12/2021,15:00,39948.6,1535.5,33613.6,N
02/12/2021,16:00,40024.7,1544.9,33601.4,N
02/12/2021,17:00,39875,1552.9,33611.5,N
02/12/2021,18:00,38742.1,1556.9,33622.9,N
02/12/2021,19:00,38250.8,1543.4,33642.2,N
02/12/2021,20:00,38998.2,1536.4,33669.1,N
02/12/2021,21:00,39536.2,1534.9,33690.9,N
02/12/2021,22:00,39479.5,1552.9,33709.9,N
02/12/2021,23:00,38889.5,1505.7,34015.7,N
02/12/2021,24:00,38467.3,1516.9,35293.3,N
02/13/2021,01:00,36745,1586.6,32980.2,N
02/13/2021,02:00,36404.3,1575.5,32995.5,N
02/13/2021,03:00,36279.1,1572.9,33001.3,N
02/13/2021,04:00,36274.5,1538.4,33019.4,N
02/13/2021,05:00,37166.2,1544.9,33029.3,N
02/13/2021,06:00,37019.1,1517,33036.4,N
02/13/2021,07:00,36580.3,1560.6,33025.8,N
02/13/2021,08:00,37347.4,1542.1,32448.6,N
02/13/2021,09:00,38203.7,1543.4,32433.1,N
02/13/2021,10:00,39039.1,1544.9,32394.7,N
02/13/2021,11:00,39081.8,1543.4,32354.2,N
02/13/2021,12:00,38994.7,1535.5,32326.3,N
02/13/2021,13:00,39235.9,1535.5,32299.6,N
02/13/2021,14:00,39174.6,1536.4,32276.5,N
02/13/2021,15:00,38913.1,1535.5,32257.4,N
02/13/2021,16:00,39256.4,1544.9,32249.7,N
02/13/2021,17:00,39806.4,1552.9,32260.7,N
02/13/2021,18:00,39786.3,1556.9,32277.5,N
02/13/2021,19:00,39591.2,1543.4,32304.7,N
02/13/2021,20:00,39716.4,1536.4,32342.6,N
02/13/2021,21:00,39892,1534.9,32369.9,N
02/13/2021,22:00,39967,1552.9,32392.9,N
02/13/2021,23:00,39780.2,1505.7,32701.3,N
02/13/2021,24:00,40319.5,1516.9,32747.3,N
02/14/2021,01:00,40365.7,1568.6,33743.8,N
02/14/2021,02:00,41277.6,1557.5,33780,N
02/14/2021,03:00,41857.4,1554.9,33783.7,N
02/14/2021,04:00,42584.5,1520.4,33796.8,N
02/14/2021,05:00,44221.9,1526.9,33807,N
02/14/2021,06:00,44931.6,1499,33813.8,N
02/14/2021,07:00,45505.3,1542.6,33805.8,N
02/14/2021,08:00,46575.7,1524.1,33224.9,N
02/14/2021,09:00,47402.8,1525.4,33216.9,N
02/14/2021,10:00,48276.7,1526.9,33190.6,N
02/14/2021,11:00,48831.5,1525.4,33156.7,N
02/14/2021,12:00,49343.7,1517.5,33126.3,N
02/14/2021,13:00,49849.7,1517.5,33097.6,N
02/14/2021,14:00,50280,1518.4,33052.6,N
02/14/2021,15:00,50409.4,1517.5,33034.1,N
02/14/2021,16:00,50697.6,1526.9,33020.1,N
02/14/2021,17:00,50958.4,1534.9,33020.1,N
02/14/2021,18:00,51075.1,1538.9,33021.2,N
02/14/2021,19:00,50978.6,1525.4,33035.4,N
02/14/2021,20:00,50885.2,1518.4,33071.8,N
02/14/2021,21:00,50797.7,1516.9,33093.2,N
02/14/2021,22:00,50189.3,1534.9,33110.1,N
02/14/2021,23:00,48952,1487.7,33406.4,N
02/14/2021,24:00,48070.4,1498.9,33447.6,N
02/15/2021,01:00,42406.2,1555.6,33151.5,N
02/15/2021,02:00,42493.3,1544.5,33150,N
02/15/2021,03:00,42403.5,1541.9,33155.1,N
02/15/2021,04:00,42160.1,1507.4,33156.5,N
02/15/2021,05:00,42841.1,1513.9,33165.1,N
02/15/2021,06:00,42656.4,1486,33166.6,N
02/15/2021,07:00,41889.8,1529.6,33153.7,N
02/15/2021,08:00,41897.1,1511.1,33190.2,N
02/15/2021,09:00,42620.8,1512.4,33179.6,N
02/15/2021,10:00,43044.2,1513.9,33151.1,N
02/15/2021,11:00,42829.3,1512.4,33089.5,N
02/15/2021,12:00,44058.2,1504.5,33057.3,N
