Date,Fuel,Settlement Type,Total,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,0:00
01-01-2021,Biomass,INITIAL,452.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.5,4.4,4.4,4.7,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.4,4.4,4.4,4.4,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.4,4.4,4.4,4.4,4.2,4.2,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.6,4.4,4.7,4.8,4.8,4.8,4.8
01-01-2021,Coal,INITIAL,209114.1,1562.7,1569.1,1550.3,1544.4,1550.8,1552.2,1536.3,1527.0,1529.3,1528.7,1524.6,1520.8,1531.0,1552.7,1567.4,1585.1,1667.4,1687.7,1706.5,1758.0,1833.4,1938.8,1959.1,1972.2,2033.2,2095.8,2133.8,2141.2,2179.4,2194.4,2220.3,2270.0,2287.5,2274.6,2219.2,2165.2,2127.8,2032.7,1947.0,1868.9,1808.3,1753.4,1715.1,1666.9,1659.3,1658.1,1668.8,1692.4,1689.4,1746.9,1780.2,1795.5,1807.7,1814.8,1815.7,1833.8,1874.9,1901.1,1939.0,1999.4,2012.7,2033.8,2067.2,2162.9,2271.3,2376.1,2540.7,2673.1,2736.2,2862.2,2950.8,2996.7,3017.0,3037.3,3039.1,3035.6,3027.5,2999.6,2993.7,2995.4,3004.2,3010.2,3001.4,2999.7,3007.0,3003.2,2985.4,2975.5,2982.0,2929.8,2828.4,2752.3,2706.5,2690.4,2683.7,2658.4
01-01-2021,Gas,INITIAL,36914.9,322.2,311.6,314.9,316.0,327.0,335.7,337.2,337.1,340.2,345.1,338.9,341.6,346.0,345.3,340.8,338.5,339.8,339.3,334.4,330.0,353.9,369.7,377.2,398.8,412.7,414.2,416.3,418.6,419.0,419.6,419.9,415.4,414.1,416.6,422.5,422.2,413.9,412.0,407.6,410.0,401.8,399.5,394.5,391.2,378.1,373.4,372.0,369.2,363.6,354.8,350.8,347.2,346.2,344.5,344.1,347.3,344.4,342.7,345.3,342.1,343.5,340.5,340.9,339.3,347.6,352.0,350.4,380.4,427.3,432.6,441.7,465.3,469.0,488.8,463.0,450.3,490.1,516.7,517.3,515.1,503.8,497.3,482.5,481.4,459.9,459.8,445.5,397.2,366.9,355.2,355.1,355.6,354.9,314.4,267.6,257.4
01-01-2021,Gas-CC,INITIAL,464762.5,4320.1,4234.4,4205.2,4187.5,4162.5,4094.1,4039.4,4038.8,4022.9,4031.2,4028.4,4023.4,4096.6,4203.7,4290.7,4326.7,4402.1,4414.1,4457.5,4466.6,4552.4,4562.5,4595.2,4667.7,4747.9,4753.4,4762.6,4790.9,4842.2,4888.4,4920.1,4949.5,4913.0,4879.6,4835.4,4806.6,4779.1,4761.0,4752.4,4668.9,4600.1,4552.4,4473.3,4460.1,4461.2,4450.2,4493.1,4413.0,4440.5,4451.8,4442.3,4428.4,4423.9,4415.0,4423.0,4441.9,4452.6,4505.8,4541.9,4560.2,4559.7,4603.4,4629.1,4725.7,4785.9,4916.9,5042.1,5153.8,5295.1,5481.1,5619.4,5749.1,5779.2,5758.0,5750.9,5759.1,5755.7,5766.1,5771.4,5751.1,5788.0,5740.4,5728.0,5728.8,5762.4,5771.2,5751.4,5681.7,5596.7,5518.8,5471.3,5384.4,5349.8,5311.3,5327.9,5292.2
01-01-2021,Hydro,INITIAL,515.4,9.0,8.9,8.9,8.9,3.6,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.6,2.5,2.5,3.1,8.7,8.8,8.7,8.7,8.6,8.6,8.7,8.6,8.6,8.6,8.7,8.7,8.7,8.8,8.8,8.7,8.8,8.8,8.7,8.8,5.2,4.5,4.5,4.3,2.5,2.5,2.5,2.5,2.6,2.7,2.7,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,13.6,13.7,13.6,12.6,9.9,9.9,9.9,9.2,7.7,7.6,7.6,7.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
01-01-2021,Nuclear,INITIAL,122562.0,1275.7,1275.6,1276.0,1275.8,1275.7,1275.4,1275.2,1275.7,1275.8,1276.0,1275.8,1275.9,1276.0,1276.0,1276.0,1276.3,1276.2,1276.3,1275.9,1275.8,1276.1,1275.6,1275.7,1275.6,1275.6,1275.7,1275.3,1275.5,1275.4,1275.5,1275.6,1275.5,1275.5,1275.6,1275.7,1275.8,1275.9,1275.7,1275.8,1275.7,1276.0,1276.0,1276.4,1276.9,1276.7,1276.6,1276.5,1276.6,1276.8,1276.8,1276.9,1276.9,1276.6,1276.7,1277.0,1277.7,1277.9,1277.7,1277.9,1277.6,1277.9,1277.7,1278.0,1277.7,1278.0,1277.9,1277.8,1277.9,1278.0,1277.8,1277.9,1277.6,1277.8,1277.7,1277.9,1277.7,1278.1,1277.8,1277.5,1277.7,1277.9,1277.7,1277.8,1277.6,1278.1,1277.7,1277.5,1277.6,1277.6,1277.5,1277.5,1277.1,1276.5,1276.4,1276.7,1276.4
01-01-2021,Other,INITIAL,-58.4,-0.4,-0.5,0.4,0.5,0.5,0.6,0.5,-0.5,0.0,0.3,0.2,0.1,0.2,0.5,0.8,0.3,-0.3,0.9,0.5,0.6,-0.1,-0.7,-0.4,-0.2,-0.5,-0.6,-0.1,0.0,0.0,-0.1,0.0,-0.3,-1.3,-0.7,-0.5,-0.5,-2.7,-2.9,-3.2,-2.1,-3.0,-3.6,-2.8,-2.9,-2.2,-3.2,-0.6,1.5,-0.6,0.1,0.3,-0.3,-2.1,-1.5,-0.1,1.7,3.9,0.1,-0.3,-0.8,0.1,-0.3,0.1,-2.4,-3.1,-2.9,-3.2,-0.4,-0.6,-1.9,-0.7,-0.7,-0.3,-0.8,0.4,-0.5,1.8,0.3,-1.4,-0.5,-1.4,-0.6,-0.2,-0.9,-0.7,-0.7,-0.4,0.0,-0.8,-1.0,-0.5,-0.3,-2.9,-2.1,-0.3,-0.6
01-01-2021,Solar,INITIAL,21920.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.2,1.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,6.5,41.6,116.0,211.5,304.4,400.6,502.5,554.8,610.2,650.6,675.6,716.5,745.3,738.5,757.9,721.9,728.4,715.4,709.7,726.3,775.3,722.4,735.6,706.0,692.7,701.0,685.9,657.9,649.5,695.3,733.6,759.8,665.9,603.4,516.4,394.3,274.3,176.0,88.2,30.2,6.2,2.3,2.3,2.3,2.3,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01-2021,Wind,INITIAL,206066.5,3464.0,3479.3,3514.2,3527.3,3500.5,3563.4,3612.8,3612.4,3582.0,3542.1,3549.1,3547.8,3456.6,3338.8,3263.1,3187.6,3091.0,3062.0,3056.0,3022.3,2912.3,2849.8,2829.2,2777.0,2703.5,2671.6,2671.9,2690.3,2656.8,2618.8,2561.0,2496.2,2500.1,2473.0,2462.1,2457.0,2448.4,2494.9,2538.0,2582.2,2717.1,2802.8,2825.8,2836.2,2855.5,2819.8,2766.1,2747.7,2673.9,2557.5,2456.1,2356.2,2337.6,2271.5,2224.5,2137.6,2009.1,1913.3,1822.8,1718.7,1642.9,1536.2,1441.1,1338.7,1236.9,1129.3,1030.6,946.0,897.9,846.1,840.8,836.7,854.0,877.1,915.1,947.4,933.6,909.8,889.2,897.7,921.2,963.6,961.9,927.6,895.3,860.0,855.7,887.3,916.9,977.2,1046.0,1124.5,1167.9,1167.0,1123.0,1107.8
01-02-2021,Biomass,INITIAL,451.7,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.8,4.8,4.7,4.6,4.7,4.6,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
